id,type,subtype,price,transactionType,zip,visualisationOption,cuisine_type,constructionYear,condition,heatingType,primaryEnergyConsumptionLevel,room_number,surface,atticExists,basementExists,hasSwimmingPool,indoor,outdoor,short_id,company_name,m2,commune
9006968,apartment,apartment,775000,for sale,8400,xl,hyper equipped,2018,,gas,,3,,,true,,1,1,288460,scheldegalm,180,Ostende
8850202,apartment,ground floor,2250000,for sale,8300,xl,,2021,,,,3,,,,,1,,285802,cambier - de nil,147,Knokke-Heist
8933775,apartment,apartment,2599000,for sale,8300,xl,usa hyper equipped,2020,,gas,,3,,,true,,,,725450,immo centrale,196,Knokke
8436426,apartment,penthouse,798000,for sale,1150,xl,hyper equipped,,as new,gas,,3,,,true,,,,2962858,antonissen project management,119,St-Pieters-Woluwe
8932336,apartment,apartment,2249000,for sale,8300,xl,usa hyper equipped,2020,,gas,,3,,,true,,,,725450,immo centrale,173,Knokke
9043282,apartment,apartment,215000,for sale,9000,xl,installed,1996,,gas,,1,,,,,,,1890498,carlo eggermont,42,Gand
9043613,apartment,triplex,235000,for sale,6280,xl,hyper equipped,2013,as new,gas,,3,,,,,,1,663882,etimo,149,Loverval
9043936,apartment,apartment,279000,for sale,3010,xl,installed,,good,fueloil,,2,,,true,,,,2457099,century 21 sophimo wezemaal,85,Kessel-Lo
9043342,apartment,apartment,172000,for sale,9900,xl,semi equipped,1975,to be done up,,,2,,,,,,,2193509,immo yves,2,Eeklo
8932324,apartment,apartment,2649000,for sale,8300,xl,usa hyper equipped,2020,,gas,,3,,,true,,,,725450,immo centrale,180,Knokke
9034785,apartment,apartment,165000,for sale,1040,xl,installed,,,,,2,,,true,,,,41826,"marc wilmus, notaire",2,Etterbeek
9032906,apartment group,apartment group,125000 - 185000,for sale,7300,xl,,,,,,,,,,,,,3455705,ax-immobilier,56,Boussu
9026998,apartment,apartment,2150000,for sale,1050,xl,hyper equipped,1930,,gas,,3,,,true,,1,,1607451,emile garcin belgique sprl,330,Ixelles
9030294,apartment,apartment,165000,for sale,9900,xl,installed,2019,as new,gas,,2,,,,,,1,2126895,vastgoed unicum,82,Eeklo
9026282,apartment,apartment,349000,for sale,2000,xl,,1950,,gas,,2,,,true,,1,1,2037100,immodôme,119,Anvers
9039554,apartment,apartment,750000,for sale,4950,xl,,2015,,,,2,1000,,,,3,9,3642916,,300,Waimes
9041433,apartment,loft,248120,for sale,8790,xl,installed,,as new,,,1,,,,,1,,696853,immo roba,116,Waregem
9038628,apartment,penthouse,830000,for sale,9000,xl,,2019,,,,2,,,true,,,,1890498,carlo eggermont,118,Gand
9030886,apartment,apartment,215000,for sale,2400,xl,installed,2014,as new,,,2,,,,,,,3189988,,96,Mol
9038627,apartment,apartment,830000,for sale,9000,xl,,2019,,,,2,,,true,,,,1890498,carlo eggermont,118,Gand
9031559,apartment group,apartment group,185000 - 695000,for sale,2600,xl,,,,,,,,,,,,,1837498,fides invest,70,Berchem
9033621,apartment,apartment,370000,for sale,1000,xl,,2022,as new,,,0,,,,,,,1861729,dewaele | vastgoed met advies brussel,95,Bruxelles%20ville
8929256,apartment,apartment,50000,for sale,8400,xl,installed,2001,,gas,,2,,,true,,1,,3530449,lijfrente-makelaar,110,Ostende
9030444,apartment,apartment,235000,for sale,1070,xl,usa installed,2011,as new,,,2,,,true,,,1,2305528,immo pické bv bvba,67,Anderlecht
9030758,apartment,penthouse,1200000,for sale,2000,xl,,2020,,gas,,3,,,,,,,3055336,antwerp sotheby&#039;s international realty,155,Anvers
9030795,apartment group,apartment group,279500 - 355000,for sale,8490,xl,,,,,,,,,,,,,3649548,immax brugge,100,Jabbeke%20Varsenare
9024613,apartment,apartment,89000,for sale,4480,xl,,,,gas,,1,,,,,,,845221,bureau godin – liège/charleroi,71,Engis
9022423,apartment,apartment,108000,for sale,6000,xl,installed,,just renovated,gas,,2,,,true,,1,,3666274,,2,Charleroi
